FID,address,new_address,confirm,suspect,district,date,lng,lat,gaode_lon,gaode_lat,gps_lon,gps_lat
489,恒大龙城3期,恒大龙城,2,0,黄陂区,2020/2/13,114.240688,30.724849,114.231913,30.718591,114.226465,30.72099248
490,尚_瑞府,尚_瑞府,1,0,黄陂区,2020/2/13,114.229283,30.730196,114.222856,30.723953,114.2173928,30.72634444
676,F学府,F·学府,2,1,黄陂区,2020/2/14,114.255531,30.737894,114.24922,30.732252,114.2437893,30.73465255
679,汉口湖畔,汉口湖畔,1,7,黄陂区,2020/2/14,114.262374,30.733805,114.255875,30.727824,114.2504482,30.73022604
680,橄榄城,万润橄榄城,1,4,黄陂区,2020/2/14,114.250401,30.729974,114.243968,30.723672,114.2385338,30.72607624
681,恒大名都,恒大名都(巨龙大道),4,11,黄陂区,2020/2/14,114.298878,30.705306,114.292707,30.696032,114.2872689,30.69841709
683,F阳光城,F.阳光城,2,6,黄陂区,2020/2/14,114.298086,30.709392,114.291534,30.70364,114.2860965,30.70602313
684,香奈天鹅湖,香奈·天鹅湖,1,1,黄陂区,2020/2/14,114.295406,30.705598,114.288696,30.699623,114.2832616,30.70201198
689,高潮社区,高车社区,1,2,黄陂区,2020/2/14,114.574761,30.66848,114.395142,30.729293,114.3895809,30.73150881
718,龙城社区,龙城小区(露甲山路),14,11,黄陂区,2020/2/15,114.820666,30.845747,114.24616,30.709761,114.240729,30.71217247
924,露甲山社区,盘龙·新天地,6,12,黄陂区,2020/2/19,114.250902,30.701937,114.244334,30.708364,114.2389015,30.71077585
1067,名流人和天地润和园,人和天地润和园,4,3,黄陂区,2020/2/22,114.284702,30.717651,114.278161,30.711831,114.2727334,30.71422661
1069,日月山水小区,日月山水,12,0,黄陂区,2020/2/22,114.307737,30.700463,114.298795,30.694749,114.2933501,30.69712545
1129,中城时代小区,中城时代,8,5,黄陂区,2020/2/23,114.291353,30.70865,114.284876,30.702831,114.2794446,30.70522336
1130,中城时代公租房,中城时代,7,3,黄陂区,2020/2/23,114.316867,30.503005,114.284876,30.702831,114.2794446,30.70522336
1142,荷叶山还建小区,天河还建小区,6,5,黄陂区,2020/2/24,114.388547,30.887854,114.217215,30.807195,114.2117338,30.8095368
10,左岭新城朝阳社区,九号铺子高新大道朝阳社区,10,0,洪山区,2020/2/7,114.632388,30.496329,114.620384,30.490208,114.6153285,30.49287491
11,左岭新城星芯社区,左岭街星芯社区,10,0,洪山区,2020/2/7,114.628789,30.497329,114.622314,30.491192,114.6172566,30.49385678
18,中南管道小区,中南管道小区,1,0,洪山区,2020/2/8,114.24924,30.384719,114.280588,30.492514,114.2751779,30.49499322
19,鑫宇花园,保利·心语,6,2,洪山区,2020/2/8,114.288992,30.490527,114.323301,30.479692,114.3178388,30.48210632
20,清润家园,青润家园,4,0,洪山区,2020/2/8,114.289476,30.494201,114.282939,30.488452,114.2775276,30.49092969
26,阳光在线小区,阳光在线小区,3,0,洪山区,2020/2/8,114.410496,30.50095,114.403342,30.495155,114.3978042,30.4974638
39,花样幸福万象,花样年·花郡(武丰路),1,1,洪山区,2020/2/9,114.39347,30.614545,114.385582,30.60739,114.3800325,30.60966592
41,岳家嘴小区,湖北省电力岳家嘴小区,29,16,洪山区,2020/2/9,114.372731,30.587442,114.366303,30.581114,114.3607691,30.58342022
42,阳光尚东,阳光·尚东,6,2,洪山区,2020/2/9,114.411997,30.501206,114.405354,30.495347,114.3998173,30.49765592
43,花山街橘园,橘园,3,4,洪山区,2020/2/9,114.528063,30.5449,114.516908,30.523575,114.5116831,30.52610908
53,浅水湾,保利·浅水湾,4,3,洪山区,2020/2/9,114.374115,30.881568,114.361879,30.50482,114.3563567,30.50715827
75,红玫苑,泰然·南湖玫瑰湾二期红玫苑,4,5,洪山区,2020/2/9,114.270129,30.634188,114.343333,30.486696,114.3378379,30.4890705
87,丽湖花园,丽湖花园(文治街),3,3,洪山区,2020/2/9,114.349054,30.505133,114.342444,30.499309,114.3369491,30.50168148
103,玉龙居,东方玉龙居,7,7,洪山区,2020/2/10,114.306542,30.59075,114.390864,30.609219,114.3853134,30.61149104
